"Date","Price","Open","High","Low","Vol.","Change %"
"07-11-2023","249.80","249.95","252.00","248.90","7.07M","0.10%"
"06-11-2023","249.55","247.00","251.20","245.60","9.39M","2.02%"
"03-11-2023","244.60","245.85","246.15","243.90","5.03M","-0.08%"
"02-11-2023","244.80","238.00","245.05","238.00","9.82M","3.33%"
"01-11-2023","236.90","239.95","240.25","236.30","4.03M","-1.02%"
"31-10-2023","239.35","240.50","241.85","238.25","6.27M","0.10%"
"30-10-2023","239.10","238.50","239.90","235.00","5.66M","0.40%"
"27-10-2023","238.15","236.15","239.00","235.50","7.03M","1.60%"
"26-10-2023","234.40","235.00","235.35","230.80","9.27M","-0.97%"
"25-10-2023","236.70","239.85","241.65","233.15","9.56M","-0.65%"
"23-10-2023","238.25","248.35","248.75","236.30","9.55M","-3.70%"
"20-10-2023","247.40","251.50","252.40","246.60","7.68M","-1.83%"
"19-10-2023","252.00","252.55","252.90","249.50","4.78M","-0.41%"
"18-10-2023","253.05","257.00","257.70","251.50","6.00M","-1.50%"
"17-10-2023","256.90","256.85","259.30","256.00","6.34M","0.82%"
"16-10-2023","254.80","254.10","256.85","253.55","6.72M","0.28%"
"13-10-2023","254.10","254.45","255.90","253.20","4.30M","-0.41%"
"12-10-2023","255.15","255.40","257.40","254.70","5.38M","0.47%"
"11-10-2023","253.95","255.20","256.40","253.10","6.25M","0.02%"
"10-10-2023","253.90","250.50","255.00","250.50","5.95M","1.56%"
"09-10-2023","250.00","255.10","255.95","249.10","11.21M","-3.38%"
"06-10-2023","258.75","259.50","259.95","258.05","3.83M","0.37%"
"05-10-2023","257.80","258.60","260.20","256.00","6.68M","0.45%"
"04-10-2023","256.65","262.95","262.95","253.50","12.53M","-2.77%"
"03-10-2023","263.95","262.55","266.50","260.80","7.14M","0.63%"
"29-09-2023","262.30","259.45","264.75","259.45","10.21M","1.65%"
"28-09-2023","258.05","262.00","264.25","257.30","11.27M","-0.65%"
"27-09-2023","259.75","259.85","260.60","256.55","5.65M","-0.04%"
"26-09-2023","259.85","257.10","263.75","257.00","9.19M","1.15%"
"25-09-2023","256.90","258.20","258.30","255.00","5.38M","-0.08%"
"22-09-2023","257.10","257.15","259.00","254.25","6.83M","0.18%"
"21-09-2023","256.65","261.95","262.00","256.05","7.95M","-2.04%"
"20-09-2023","262.00","265.35","267.00","261.00","9.02M","-1.34%"
"18-09-2023","265.55","265.40","266.75","262.30","8.43M","0.61%"
"15-09-2023","263.95","267.10","267.95","263.10","7.61M","-0.43%"
"14-09-2023","265.10","266.85","268.00","263.45","7.92M","0.04%"
"13-09-2023","265.00","263.50","267.60","261.00","11.80M","0.88%"
"12-09-2023","262.70","276.00","276.00","260.00","23.74M","-3.38%"
"11-09-2023","271.90","274.00","274.00","269.15","16.45M","1.13%"
"08-09-2023","268.85","264.85","276.50","263.70","53.02M","1.95%"
"07-09-2023","263.70","258.00","266.35","256.30","17.70M","2.41%"
"06-09-2023","257.50","261.00","261.80","254.65","9.25M","-0.37%"
"05-09-2023","258.45","260.80","262.50","255.65","14.99M","-0.27%"
"04-09-2023","259.15","257.95","262.30","255.10","18.77M","1.49%"
"01-09-2023","255.35","246.75","255.95","246.10","28.05M","4.18%"
"31-08-2023","245.10","248.65","249.75","244.25","11.64M","-0.91%"
"30-08-2023","247.35","248.00","250.50","246.90","8.23M","0.18%"
"29-08-2023","246.90","245.00","248.50","244.95","7.27M","0.80%"
"28-08-2023","244.95","246.15","246.90","243.70","7.40M","-0.26%"
"25-08-2023","245.60","249.65","251.70","243.40","15.08M","-1.66%"
"24-08-2023","249.75","247.00","252.80","246.50","28.70M","1.69%"
"23-08-2023","245.60","244.65","248.50","243.50","23.01M","0.86%"
"22-08-2023","243.50","242.00","244.10","239.60","22.42M","1.73%"
"21-08-2023","239.35","230.65","240.40","230.10","14.52M","4.02%"
"18-08-2023","230.10","232.50","233.50","229.60","6.81M","-1.03%"
