"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2024","287.70","285.00","289.40","284.60","15.15M","1.71%"
"29-02-2024","282.85","279.60","285.00","274.40","35.04M","1.18%"
"28-02-2024","279.55","291.50","293.65","278.40","18.82M","-4.43%"
"27-02-2024","292.50","284.10","293.40","284.10","36.51M","1.63%"
"26-02-2024","287.80","282.95","291.50","282.05","31.01M","2.07%"
"23-02-2024","281.95","282.55","285.20","279.00","14.31M","-0.23%"
"22-02-2024","282.60","280.10","283.50","273.25","26.79M","0.89%"
"21-02-2024","280.10","287.55","289.45","279.25","24.65M","-2.71%"
"20-02-2024","287.90","278.35","288.75","277.70","43.05M","4.18%"
"19-02-2024","276.35","275.10","278.30","273.30","11.43M","0.66%"
"16-02-2024","274.55","282.00","282.90","273.30","25.13M","-2.52%"
"15-02-2024","281.65","272.00","283.35","271.35","25.48M","2.92%"
"14-02-2024","273.65","269.50","275.00","267.00","13.55M","1.26%"
"13-02-2024","270.25","270.30","270.85","264.25","22.03M","-0.02%"
"12-02-2024","270.30","273.20","276.00","266.25","19.14M","-0.99%"
"09-02-2024","273.00","278.60","279.45","269.10","24.50M","-1.16%"
"08-02-2024","276.20","270.80","288.05","270.80","69.78M","3.08%"
"07-02-2024","267.95","272.10","274.40","266.80","27.34M","-2.30%"
"06-02-2024","274.25","282.90","282.90","272.30","29.67M","-3.06%"
"05-02-2024","282.90","277.50","289.40","274.90","27.44M","2.09%"
"02-02-2024","277.10","264.50","281.40","263.95","33.90M","4.25%"
"01-02-2024","265.80","259.00","270.95","258.30","29.93M","2.51%"
"31-01-2024","259.30","254.00","260.00","252.40","34.37M","2.05%"
"30-01-2024","254.10","254.00","256.95","251.50","16.03M","0.06%"
"29-01-2024","253.95","245.45","255.00","245.15","26.18M","3.44%"
"25-01-2024","245.50","244.75","248.70","243.10","20.65M","-0.28%"
"24-01-2024","246.20","236.15","247.00","235.00","28.31M","3.47%"
"23-01-2024","237.95","241.00","246.80","236.25","27.49M","0.32%"
"20-01-2024","237.20","238.00","240.80","236.50","6.49M","0.76%"
"19-01-2024","235.40","235.00","236.95","232.40","20.93M","0.84%"
"18-01-2024","233.45","227.25","235.70","226.05","25.52M","-2.40%"
"17-01-2024","239.20","238.50","241.20","237.70","13.62M","0.06%"
"16-01-2024","239.05","241.65","242.40","237.70","7.48M","-0.87%"
"15-01-2024","241.15","240.40","241.50","237.00","12.60M","0.69%"
"12-01-2024","239.50","242.50","242.65","238.80","11.30M","-1.01%"
"11-01-2024","241.95","240.25","243.10","239.20","18.81M","1.17%"
"10-01-2024","239.15","241.00","242.10","238.00","16.87M","-1.30%"
"09-01-2024","242.30","242.60","244.65","241.50","8.69M","-0.02%"
